model,kind,testsuite,program,total_mutants,Sn,C,estimator,estimate,CILower,CIUpper
abundance,class,organic,commons-configuration,6163,4847,0.967,ICE,6203.032,6063.884,6358.09
abundance,class,organic,commons-configuration,6163,4847,0.967,ICE-1,6662.022,6453.962,6897.02
abundance,class,organic,commons-configuration,6163,4847,0.967,Jack1,6281.462,6180.409,6390.172
abundance,class,organic,commons-configuration,6163,4847,0.967,Jack2,7138.642,6964.752,7326.811
abundance,class,organic,commons-dbcp,4184,1829,0.858,Chao2,3271.701,3021.326,3574.653
abundance,class,organic,commons-dbcp,4184,1829,0.858,Chao2-bc,3264.12,3015.347,3565.061
abundance,class,organic,commons-dbcp,4184,1829,0.858,iChao2,3489.083,3286,3720.471
abundance,class,organic,commons-dbcp,4184,1829,0.858,ICE,2816.58,2679.934,2975.169
abundance,class,organic,commons-dbcp,4184,1829,0.858,ICE-1,3300.12,3065.217,3579.66
abundance,class,organic,commons-dbcp,4184,1829,0.858,Jack1,2658.256,2582.623,2741.478
abundance,class,organic,commons-dbcp,4184,1829,0.858,Jack2,3240.656,3111.442,3382.888
abundance,class,organic,commons-imaging,11577,6156,0.916,Chao2,9536.389,9176.797,9938.786
abundance,class,organic,commons-imaging,11577,6156,0.916,Chao2-bc,9530.629,9171.752,9932.213
abundance,class,organic,commons-imaging,11577,6156,0.916,iChao2,9977.17,9697.535,10278.886
abundance,class,organic,commons-imaging,11577,6156,0.916,ICE,8471.018,8277.853,8681.767
abundance,class,organic,commons-imaging,11577,6156,0.916,ICE-1,9378.718,9074.059,9715.186
abundance,class,organic,commons-imaging,11577,6156,0.916,Jack1,8449.522,8320.851,8585.841
abundance,class,organic,commons-imaging,11577,6156,0.916,Jack2,9958.345,9736.891,10193.494
abundance,class,organic,commons-io,3243,2548,0.638,Chao2,6054.694,5611.195,6562.403
abundance,class,organic,commons-io,3243,2548,0.638,Chao2-bc,6044.899,5602.982,6550.743
abundance,class,organic,commons-io,3243,2548,0.638,iChao2,6929.386,6534.027,7363.959
abundance,class,organic,commons-io,3243,2548,0.638,ICE,7742.578,7138,8426.789
abundance,class,organic,commons-io,3243,2548,0.638,ICE-1,12007.507,10515.426,13779.013
abundance,class,organic,commons-io,3243,2548,0.638,Jack1,4310.217,4197.906,4430.173
abundance,class,organic,commons-io,3243,2548,0.638,Jack2,5621.262,5427.694,5827.841
abundance,class,organic,commons-lang,13054,10980,0.504,Chao2,42848.262,40642.388,45218.178
abundance,class,organic,commons-lang,13054,10980,0.504,Chao2-bc,42817.57,40614.896,45183.962
abundance,class,organic,commons-lang,13054,10980,0.504,iChao2,46521.778,44482.551,48685.129
abundance,class,organic,commons-lang,13054,10980,0.504,ICE,51569.084,49117.481,54178.284
abundance,class,organic,commons-lang,13054,10980,0.504,ICE-1,104408.928,96377.312,113195.918
abundance,class,organic,commons-lang,13054,10980,0.504,Jack1,19615.034,19361.714,19876.011
abundance,class,organic,commons-lang,13054,10980,0.504,Jack2,27036.419,26598.808,27486.292
abundance,class,organic,commons-net,5694,1210,0.573,Chao2,3563.316,3132.89,4090.088
abundance,class,organic,commons-net,5694,1210,0.573,Chao2-bc,3547.057,3120.685,4068.574
abundance,class,organic,commons-net,5694,1210,0.573,iChao2,4025.54,3322.184,4963.115
abundance,class,organic,commons-net,5694,1210,0.573,ICE,4876.621,4252.846,5628.27
abundance,class,organic,commons-net,5694,1210,0.573,ICE-1,9169.879,7276.022,11655.012
abundance,class,organic,commons-net,5694,1210,0.573,Jack1,2096.381,2018.074,2182.276
abundance,class,organic,commons-net,5694,1210,0.573,Jack2,2802.258,2668.114,2948.742
abundance,class,organic,commons-math,47876,35533,0.87,Chao2,68178.726,66869.243,69542.93
abundance,class,organic,commons-math,47876,35533,0.87,Chao2-bc,68170.761,66861.676,69534.547
abundance,class,organic,commons-math,47876,35533,0.87,iChao2,73728.521,72710.07,74774.873
abundance,class,organic,commons-math,47876,35533,0.87,ICE,67434.172,66428.951,68472.099
abundance,class,organic,commons-math,47876,35533,0.87,ICE-1,89674.177,87581.533,91850.956
abundance,class,organic,commons-math,47876,35533,0.87,Jack1,54046.911,53673.767,54427.729
abundance,class,organic,commons-math,47876,35533,0.87,Jack2,67295.412,66649.884,67954.332
abundance,class,evosuite,commons-csv,635,188,0.839,Chao2,255.133,226.04,306.476
abundance,class,evosuite,commons-csv,635,188,0.839,Chao2-bc,252.821,224.711,302.454
abundance,class,evosuite,commons-csv,635,188,0.839,iChao2,268.67,248.477,295.605
abundance,class,evosuite,commons-csv,635,188,0.839,ICE,265.263,235.806,312.871
abundance,class,evosuite,commons-csv,635,188,0.839,ICE-1,289.946,247.221,363.496
abundance,class,evosuite,commons-csv,635,188,0.839,Jack1,261.846,241.932,289.113
abundance,class,evosuite,commons-csv,635,188,0.839,Jack2,295.41,263.329,341.154
abundance,class,evosuite,commons-collections,8306,4239,0.739,Chao2,8766.325,8313.295,9269.728
abundance,class,evosuite,commons-collections,8306,4239,0.739,Chao2-bc,8759.178,8307.016,9261.598
abundance,class,evosuite,commons-collections,8306,4239,0.739,iChao2,9571.619,9207.705,9962.187
abundance,class,evosuite,commons-collections,8306,4239,0.739,ICE,10796.646,10206.267,11445.436
abundance,class,evosuite,commons-collections,8306,4239,0.739,ICE-1,15584.173,14237.787,17111.857
abundance,class,evosuite,commons-collections,8306,4239,0.739,Jack1,6962.676,6821.972,7111.044
abundance,class,evosuite,commons-collections,8306,4239,0.739,Jack2,8862.132,8619.174,9118.566
abundance,class,evosuite,commons-compress,9520,3051,0.709,Chao2,6314.052,5924.624,6756.255
abundance,class,evosuite,commons-compress,9520,3051,0.709,Chao2-bc,6306.453,5918.135,6747.365
abundance,class,evosuite,commons-compress,9520,3051,0.709,iChao2,6986.387,6681.492,7316.888
abundance,class,evosuite,commons-compress,9520,3051,0.709,ICE,7107.268,6684.927,7578.693
abundance,class,evosuite,commons-compress,9520,3051,0.709,ICE-1,9905.457,8987.765,10965.004
abundance,class,evosuite,commons-compress,9520,3051,0.709,Jack1,4944.461,4827.826,5068.752
abundance,class,evosuite,commons-compress,9520,3051,0.709,Jack2,6283.272,6082.087,6497.81
abundance,class,evosuite,commons-dbcp,4184,936,0.784,Chao2,2242.368,1964.532,2595.256
abundance,class,evosuite,commons-dbcp,4184,936,0.784,Chao2-bc,2230.444,1955.899,2578.893
abundance,class,evosuite,commons-dbcp,4184,936,0.784,iChao2,2467.369,2228.704,2750.096
abundance,class,evosuite,commons-dbcp,4184,936,0.784,ICE,2685.751,2381.792,3053.613
abundance,class,evosuite,commons-dbcp,4184,936,0.784,ICE-1,4711.851,3871.543,5792.7
abundance,class,evosuite,commons-dbcp,4184,936,0.784,Jack1,1519.043,1456.189,1589.493
abundance,class,evosuite,commons-dbcp,4184,936,0.784,Jack2,1964.74,1857.016,2085.064
abundance,class,evosuite,commons-imaging,11577,4208,0.51,Chao2,10842.608,10189.442,11567.1
abundance,class,evosuite,commons-imaging,11577,4208,0.51,Chao2-bc,10831.423,10179.696,11554.276
abundance,class,evosuite,commons-imaging,11577,4208,0.51,iChao2,12179.541,11250.832,13230.715
abundance,class,evosuite,commons-imaging,11577,4208,0.51,ICE,13728.891,12719.925,14857.457
abundance,class,evosuite,commons-imaging,11577,4208,0.51,ICE-1,20203.762,17689.739,23186.591
abundance,class,evosuite,commons-imaging,11577,4208,0.51,Jack1,7314.918,7164.398,7473.101
abundance,class,evosuite,commons-imaging,11577,4208,0.51,Jack2,9686.331,9426.196,9959.434
abundance,class,evosuite,commons-io,3243,1599,0.436,Chao2,5997.528,5256.326,6888.943
abundance,class,evosuite,commons-io,3243,1599,0.436,Chao2-bc,5969.913,5235.492,6852.657
abundance,class,evosuite,commons-io,3243,1599,0.436,iChao2,6556.327,5871.388,7351.074
abundance,class,evosuite,commons-io,3243,1599,0.436,ICE,6010.343,5359.063,6774.431
abundance,class,evosuite,commons-io,3243,1599,0.436,ICE-1,9208.674,7751.129,11011.535
abundance,class,evosuite,commons-io,3243,1599,0.436,Jack1,2853.742,2759.592,2955.529
abundance,class,evosuite,commons-io,3243,1599,0.436,Jack2,3919.303,3756.78,4094.067
abundance,class,evosuite,commons-lang,13054,7930,0.255,Chao2,46668.198,43279.991,50381.157
abundance,class,evosuite,commons-lang,13054,7930,0.255,Chao2-bc,46601.295,43222.563,50303.49
abundance,class,evosuite,commons-lang,13054,7930,0.255,iChao2,52133.696,48686.948,55871.93
abundance,class,evosuite,commons-lang,13054,7930,0.255,ICE,50501.335,46252.051,55221.794
abundance,class,evosuite,commons-lang,13054,7930,0.255,ICE-1,76575.104,65781.148,89383.013
abundance,class,evosuite,commons-lang,13054,7930,0.255,Jack1,14885.983,14659.109,15120.506
abundance,class,evosuite,commons-lang,13054,7930,0.255,Jack2,21167.335,20775.561,21571.057
abundance,class,evosuite,commons-net,5694,1751,0.613,Chao2,5428.594,4841.812,6126.775
abundance,class,evosuite,commons-net,5694,1751,0.613,Chao2-bc,5409.247,4826.781,6102.015
abundance,class,evosuite,commons-net,5694,1751,0.613,iChao2,5653.204,5135.175,6250.53
abundance,class,evosuite,commons-net,5694,1751,0.613,ICE,5506.434,4965.886,6137.869
abundance,class,evosuite,commons-net,5694,1751,0.613,ICE-1,8355.104,7090.32,9919.491
abundance,class,evosuite,commons-net,5694,1751,0.613,Jack1,3024.675,2929.682,3127.325
abundance,class,evosuite,commons-net,5694,1751,0.613,Jack2,4072.341,3908.051,4249.145
abundance,class,evosuite,commons-math,47876,22079,0.895,Chao2,41389.486,40418.995,42411.332
abundance,class,evosuite,commons-math,47876,22079,0.895,Chao2-bc,41382.157,40412.117,42403.524
abundance,class,evosuite,commons-math,47876,22079,0.895,iChao2,45161.11,44415.978,45931.098
abundance,class,evosuite,commons-math,47876,22079,0.895,ICE,43587.933,42727.653,44484.055
abundance,class,evosuite,commons-math,47876,22079,0.895,ICE-1,59716.271,57849.676,61680.27
abundance,class,evosuite,commons-math,47876,22079,0.895,Jack1,33558.459,33265.407,33859.189
abundance,class,evosuite,commons-math,47876,22079,0.895,Jack2,41619.12,41112.067,42139.68
abundance,class,randoop,commons-csv,635,238,0.991,Chao2,274,249.177,353.948
abundance,class,randoop,commons-csv,635,238,0.991,Chao2-bc,266.5,247.317,325.183
abundance,class,randoop,commons-csv,635,238,0.991,iChao2,281.438,255.939,343.182
abundance,class,randoop,commons-csv,635,238,0.991,ICE,242.474,239.571,250.743
abundance,class,randoop,commons-csv,635,238,0.991,ICE-1,242.687,239.648,251.327
abundance,class,randoop,commons-csv,635,238,0.991,Jack1,256,247.675,271.49
abundance,class,randoop,commons-csv,635,238,0.991,Jack2,268.444,254.723,293.423
abundance,class,randoop,commons-compress,9520,2082,0.99,Chao2,2228.561,2183.365,2293.908
abundance,class,randoop,commons-compress,9520,2082,0.99,Chao2-bc,2226.576,2181.963,2291.101
abundance,class,randoop,commons-compress,9520,2082,0.99,iChao2,2264.605,2231.863,2304.5
abundance,class,randoop,commons-compress,9520,2082,0.99,ICE,2173.865,2150.694,2204.853
abundance,class,randoop,commons-compress,9520,2082,0.99,ICE-1,2184.688,2158.374,2220.069
abundance,class,randoop,commons-compress,9520,2082,0.99,Jack1,2261.214,2228.322,2301.501
abundance,class,randoop,commons-compress,9520,2082,0.99,Jack2,2333.28,2279.994,2400.907
abundance,class,randoop,commons-configuration,6163,2157,0.966,Chao2,2384.09,2331.715,2452.164
abundance,class,randoop,commons-configuration,6163,2157,0.966,Chao2-bc,2382.732,2330.635,2450.461
abundance,class,randoop,commons-configuration,6163,2157,0.966,iChao2,2419.986,2382.16,2464.167
abundance,class,randoop,commons-configuration,6163,2157,0.966,ICE,2343.369,2307.741,2387.418
abundance,class,randoop,commons-configuration,6163,2157,0.966,ICE-1,2369.132,2327.759,2420.529
abundance,class,randoop,commons-configuration,6163,2157,0.966,Jack1,2493,2447.498,2545.629
abundance,class,randoop,commons-configuration,6163,2157,0.966,Jack2,2600.381,2530.437,2683.425
abundance,class,randoop,commons-dbcp,4184,737,0.951,Chao2,835.728,802.456,885.912
abundance,class,randoop,commons-dbcp,4184,737,0.951,Chao2-bc,834.19,801.393,883.693
abundance,class,randoop,commons-dbcp,4184,737,0.951,iChao2,855.485,831.953,884.848
abundance,class,randoop,commons-dbcp,4184,737,0.951,ICE,817.048,794.234,848.957
abundance,class,randoop,commons-dbcp,4184,737,0.951,ICE-1,828.216,801.571,865.856
abundance,class,randoop,commons-dbcp,4184,737,0.951,Jack1,871.571,843.979,906.28
abundance,class,randoop,commons-dbcp,4184,737,0.951,Jack2,920.024,877.698,975.083
abundance,class,randoop,commons-io,3243,1019,0.998,Chao2,1129.359,1067.333,1270.986
abundance,class,randoop,commons-io,3243,1019,0.998,Chao2-bc,1117.192,1063.255,1236.868
abundance,class,randoop,commons-io,3243,1019,0.998,iChao2,1133.521,1072.65,1263.457
abundance,class,randoop,commons-io,3243,1019,0.998,ICE,1039.751,1030.034,1058.025
abundance,class,randoop,commons-io,3243,1019,0.998,ICE-1,1042.462,1031.211,1064.077
abundance,class,randoop,commons-io,3243,1019,0.998,Jack1,1065.961,1050.473,1089.071
abundance,class,randoop,commons-io,3243,1019,0.998,Jack2,1102.909,1075.925,1142.684
abundance,class,randoop,commons-lang,13054,5886,0.954,Chao2,6695.533,6588.42,6818.979
abundance,class,randoop,commons-lang,13054,5886,0.954,Chao2-bc,6694.099,6587.154,6817.356
abundance,class,randoop,commons-lang,13054,5886,0.954,iChao2,6876.687,6809.25,6949.049
abundance,class,randoop,commons-lang,13054,5886,0.954,ICE,6769.947,6679.842,6870.28
abundance,class,randoop,commons-lang,13054,5886,0.954,ICE-1,6963.044,6848.078,7091.75
abundance,class,randoop,commons-lang,13054,5886,0.954,Jack1,7071.778,6982.589,7168.221
abundance,class,randoop,commons-lang,13054,5886,0.954,Jack2,7444.431,7303.149,7599.797
abundance,class,randoop,commons-net,5694,1134,0.994,Chao2,1227.801,1188.352,1295.884
abundance,class,randoop,commons-net,5694,1134,0.994,Chao2-bc,1224.485,1186.482,1290.008
abundance,class,randoop,commons-net,5694,1134,0.994,iChao2,1242.429,1207.138,1294.749
abundance,class,randoop,commons-net,5694,1134,0.994,ICE,1181.946,1165.01,1208.133
abundance,class,randoop,commons-net,5694,1134,0.994,ICE-1,1190.877,1170.142,1223.509
abundance,class,randoop,commons-net,5694,1134,0.994,Jack1,1218.316,1196.703,1247.379
abundance,class,randoop,commons-net,5694,1134,0.994,Jack2,1264.146,1228.403,1313.422
abundance,method,organic,commons-csv,635,496,0.995,Chao1,527.006,512.263,555.115
abundance,method,organic,commons-csv,635,496,0.995,Chao1-bc,525.998,511.666,553.442
abundance,method,organic,commons-csv,635,496,0.995,iChao1,534.233,524.687,546.956
abundance,method,organic,commons-csv,635,496,0.995,ACE,527.825,514.914,549.552
abundance,method,organic,commons-csv,635,496,0.995,ACE-1,531.373,516.64,556.624
abundance,method,organic,commons-csv,635,496,0.995,Jack1,556.995,538.895,582.733
abundance,method,organic,commons-csv,635,496,0.995,Jack2,558,530.333,607.961
abundance,method,organic,commons-collections,8306,3462,0.992,Chao1,4866.985,4666.114,5101.366
abundance,method,organic,commons-collections,8306,3462,0.992,Chao1-bc,4862.879,4662.647,5096.504
abundance,method,organic,commons-collections,8306,3462,0.992,iChao1,5152.86,5004.546,5315.433
abundance,method,organic,commons-collections,8306,3462,0.992,ACE,4796.978,4643.602,4970.263
abundance,method,organic,commons-collections,8306,3462,0.992,ACE-1,5394.812,5140.206,5688.046
abundance,method,organic,commons-collections,8306,3462,0.992,Jack1,4626.992,4536.162,4725.503
abundance,method,organic,commons-collections,8306,3462,0.992,Jack2,5308.986,5152.258,5480.247
abundance,method,organic,commons-compress,9520,6515,0.993,Chao1,7314.065,7194.889,7454.13
abundance,method,organic,commons-compress,9520,6515,0.993,Chao1-bc,7312.008,7193.122,7451.738
abundance,method,organic,commons-compress,9520,6515,0.993,iChao1,7508.252,7425.873,7598.081
abundance,method,organic,commons-compress,9520,6515,0.993,ACE,7276.436,7185.789,7379.334
abundance,method,organic,commons-compress,9520,6515,0.993,ACE-1,7468.096,7346.035,7608.085
abundance,method,organic,commons-compress,9520,6515,0.993,Jack1,7519.993,7435.894,7611.772
abundance,method,organic,commons-compress,9520,6515,0.993,Jack2,7892.992,7749.008,8053.776
abundance,method,organic,commons-configuration,6163,4847,0.998,Chao1,5628.937,5493.284,5793.064
abundance,method,organic,commons-configuration,6163,4847,0.998,Chao1-bc,5625.679,5490.612,5789.09
abundance,method,organic,commons-configuration,6163,4847,0.998,iChao1,5790.712,5685.315,5909.36
abundance,method,organic,commons-configuration,6163,4847,0.998,ACE,5384.096,5308.923,5471.503
abundance,method,organic,commons-configuration,6163,4847,0.998,ACE-1,5520.911,5419.505,5640.279
abundance,method,organic,commons-configuration,6163,4847,0.998,Jack1,5589.998,5518.205,5669.471
abundance,method,organic,commons-configuration,6163,4847,0.998,Jack2,5979.997,5856.51,6118.59
abundance,method,organic,commons-dbcp,4184,1829,0.987,Chao1,2972.974,2730.644,3280.433
abundance,method,organic,commons-dbcp,4184,1829,0.987,Chao1-bc,2963.044,2723.365,3266.954
abundance,method,organic,commons-dbcp,4184,1829,0.987,iChao1,3209.695,3008.048,3445.829
abundance,method,organic,commons-dbcp,4184,1829,0.987,ACE,2601.832,2474.438,2754.37
abundance,method,organic,commons-dbcp,4184,1829,0.987,ACE-1,3044.274,2809.848,3334.727
abundance,method,organic,commons-dbcp,4184,1829,0.987,Jack1,2400.987,2338.445,2471.207
abundance,method,organic,commons-dbcp,4184,1829,0.987,Jack2,2829.971,2721.581,2951.523
abundance,method,organic,commons-imaging,11577,6156,0.977,Chao1,8600.866,8302.467,8940.749
abundance,method,organic,commons-imaging,11577,6156,0.977,Chao1-bc,8595.357,8297.734,8934.34
abundance,method,organic,commons-imaging,11577,6156,0.977,iChao1,8972.867,8735.341,9232.267
abundance,method,organic,commons-imaging,11577,6156,0.977,ACE,7588.273,7450.721,7740.438
abundance,method,organic,commons-imaging,11577,6156,0.977,ACE-1,8055.534,7854.127,8280.828
abundance,method,organic,commons-imaging,11577,6156,0.977,Jack1,7865.977,7755.146,7984.489
abundance,method,organic,commons-imaging,11577,6156,0.977,Jack2,8977.955,8786.312,9183.56
abundance,method,organic,commons-io,3243,2548,0.973,Chao1,3055.473,2965.584,3164.713
abundance,method,organic,commons-io,3243,2548,0.973,Chao1-bc,3053.647,2964.055,3162.532
abundance,method,organic,commons-io,3243,2548,0.973,iChao1,3181.248,3129.77,3237.281
abundance,method,organic,commons-io,3243,2548,0.973,ACE,3118.261,3037.147,3212.826
abundance,method,organic,commons-io,3243,2548,0.973,ACE-1,3269.191,3157.589,3401.225
abundance,method,organic,commons-io,3243,2548,0.973,Jack1,3234.973,3166.081,3311.543
abundance,method,organic,commons-io,3243,2548,0.973,Jack2,3456.974,3339.603,3591.747
abundance,method,organic,commons-lang,13054,10980,0.952,Chao1,17187.512,16739.205,17670.716
abundance,method,organic,commons-lang,13054,10980,0.952,Chao1-bc,17183.165,16735.205,17665.992
abundance,method,organic,commons-lang,13054,10980,0.952,iChao1,18391.257,18070.058,18727.008
abundance,method,organic,commons-lang,13054,10980,0.952,ACE,18365.362,17931.651,18826.131
abundance,method,organic,commons-lang,13054,10980,0.952,ACE-1,22475.696,21665.901,23346.859
abundance,method,organic,commons-lang,13054,10980,0.952,Jack1,15962.952,15771.101,16162.485
abundance,method,organic,commons-lang,13054,10980,0.952,Jack2,18945.913,18614.165,19292.077
abundance,method,organic,commons-net,5694,1210,0.931,Chao1,1671.951,1572.932,1797.985
abundance,method,organic,commons-net,5694,1210,0.931,Chao1-bc,1668.931,1570.574,1794.119
abundance,method,organic,commons-net,5694,1210,0.931,iChao1,1782.591,1718.372,1854.921
abundance,method,organic,commons-net,5694,1210,0.931,ACE,1689.153,1605.158,1791.002
abundance,method,organic,commons-net,5694,1210,0.931,ACE-1,1863.468,1734.415,2024.28
abundance,method,organic,commons-net,5694,1210,0.931,Jack1,1668.931,1613.292,1732.248
abundance,method,organic,commons-net,5694,1210,0.931,Jack2,1899.896,1804.486,2010.619
abundance,method,organic,commons-math,47876,35533,0.988,Chao1,42293.647,41917.543,42691.908
abundance,method,organic,commons-math,47876,35533,0.988,Chao1-bc,42291.398,41915.414,42689.532
abundance,method,organic,commons-math,47876,35533,0.988,iChao1,43908.011,43662.127,44161.332
abundance,method,organic,commons-math,47876,35533,0.988,ACE,42256.49,41961.418,42565.106
abundance,method,organic,commons-math,47876,35533,0.988,ACE-1,44190.978,43774.94,44628.017
abundance,method,organic,commons-math,47876,35533,0.988,Jack1,43584.988,43340.083,43837.576
abundance,method,organic,commons-math,47876,35533,0.988,Jack2,46841.985,46419.328,47281.053
abundance,method,evosuite,commons-csv,635,188,0.992,Chao1,216.651,200.204,255.261
abundance,method,evosuite,commons-csv,635,188,0.992,Chao1-bc,214.394,199.208,250.154
abundance,method,evosuite,commons-csv,635,188,0.992,iChao1,223.794,211.198,243.231
abundance,method,evosuite,commons-csv,635,188,0.992,ACE,208.879,198.489,229.561
abundance,method,evosuite,commons-csv,635,188,0.992,ACE-1,212.675,199.937,239.007
abundance,method,evosuite,commons-csv,635,188,0.992,Jack1,220.992,208.508,241.076
abundance,method,evosuite,commons-csv,635,188,0.992,Jack2,234.99,214.463,271.438
abundance,method,evosuite,commons-collections,8306,4239,0.991,Chao1,4577.901,4511.123,4661.067
abundance,method,evosuite,commons-collections,8306,4239,0.991,Chao1-bc,4576.501,4509.963,4659.379
abundance,method,evosuite,commons-collections,8306,4239,0.991,iChao1,4658.168,4612.513,4709.404
abundance,method,evosuite,commons-collections,8306,4239,0.991,ACE,4505.806,4462.403,4557.641
abundance,method,evosuite,commons-collections,8306,4239,0.991,ACE-1,4537.441,4487.576,4597.309
abundance,method,evosuite,commons-collections,8306,4239,0.991,Jack1,4781.991,4721.148,4850.511
abundance,method,evosuite,commons-collections,8306,4239,0.991,Jack2,4889.995,4787.389,5011.798
abundance,method,evosuite,commons-compress,9520,3051,0.991,Chao1,3558.361,3451.483,3693.761
abundance,method,evosuite,commons-compress,9520,3051,0.991,Chao1-bc,3555.095,3448.931,3689.582
abundance,method,evosuite,commons-compress,9520,3051,0.991,iChao1,3674.003,3593.817,3766.035
abundance,method,evosuite,commons-compress,9520,3051,0.991,ACE,3327.813,3279.995,3385.616
abundance,method,evosuite,commons-compress,9520,3051,0.991,ACE-1,3377.619,3318.559,3449.715
abundance,method,evosuite,commons-compress,9520,3051,0.991,Jack1,3531.991,3474.941,3596.717
abundance,method,evosuite,commons-compress,9520,3051,0.991,Jack2,3784.985,3687.021,3898.039
abundance,method,evosuite,commons-dbcp,4184,936,0.995,Chao1,997.109,974.151,1033.884
abundance,method,evosuite,commons-dbcp,4184,936,0.995,Chao1-bc,996.051,973.428,1032.346
abundance,method,evosuite,commons-dbcp,4184,936,0.995,iChao1,1012.179,998.033,1029.549
abundance,method,evosuite,commons-dbcp,4184,936,0.995,ACE,991.326,974.014,1016.523
abundance,method,evosuite,commons-dbcp,4184,936,0.995,ACE-1,996.435,977.174,1024.708
abundance,method,evosuite,commons-dbcp,4184,936,0.995,Jack1,1052.995,1026.646,1087.004
abundance,method,evosuite,commons-dbcp,4184,936,0.995,Jack2,1057.999,1016.1,1121.815
abundance,method,evosuite,commons-imaging,11577,4208,0.99,Chao1,4404.525,4361.031,4460.38
abundance,method,evosuite,commons-imaging,11577,4208,0.99,Chao1-bc,4403.661,4360.317,4459.337
abundance,method,evosuite,commons-imaging,11577,4208,0.99,iChao1,4426.231,4402.284,4453.131
abundance,method,evosuite,commons-imaging,11577,4208,0.99,ACE,4375.749,4344.77,4413.745
abundance,method,evosuite,commons-imaging,11577,4208,0.99,ACE-1,4386.441,4353.12,4427.414
abundance,method,evosuite,commons-imaging,11577,4208,0.99,Jack1,4640.99,4587.048,4702.608
abundance,method,evosuite,commons-imaging,11577,4208,0.99,Jack2,4597.003,4509.231,4710.35
abundance,method,evosuite,commons-io,3243,1599,0.982,Chao1,1801.487,1747.534,1875.037
abundance,method,evosuite,commons-io,3243,1599,0.982,Chao1-bc,1799.622,1746.131,1872.561
abundance,method,evosuite,commons-io,3243,1599,0.982,iChao1,1850.335,1813.348,1893.704
abundance,method,evosuite,commons-io,3243,1599,0.982,ACE,1741.985,1710.347,1782.613
abundance,method,evosuite,commons-io,3243,1599,0.982,ACE-1,1762.124,1724.842,1810.452
abundance,method,evosuite,commons-io,3243,1599,0.982,Jack1,1868.982,1827.144,1918.493
abundance,method,evosuite,commons-io,3243,1599,0.982,Jack2,1958.982,1888.343,2046.866
abundance,method,evosuite,commons-lang,13054,7930,0.984,Chao1,8956.065,8824.041,9107.587
abundance,method,evosuite,commons-lang,13054,7930,0.984,Chao1-bc,8954.218,8822.412,9105.492
abundance,method,evosuite,commons-lang,13054,7930,0.984,iChao1,9193.353,9104.47,9288.962
abundance,method,evosuite,commons-lang,13054,7930,0.984,ACE,8705.359,8624.159,8796.057
abundance,method,evosuite,commons-lang,13054,7930,0.984,ACE-1,8824.067,8726.502,8933.584
abundance,method,evosuite,commons-lang,13054,7930,0.984,Jack1,9309.984,9210.799,9416.849
abundance,method,evosuite,commons-lang,13054,7930,0.984,Jack2,9761.984,9592.146,9949.175
abundance,method,evosuite,commons-net,5694,1751,0.99,Chao1,1864.818,1832.846,1909.279
abundance,method,evosuite,commons-net,5694,1751,0.99,Chao1-bc,1863.936,1832.163,1908.147
abundance,method,evosuite,commons-net,5694,1751,0.99,iChao1,1886.519,1868.467,1907.345
